,Player,Weekly,Pos,MP,Starts,Min,90s,Gls,Ast,xG,xA,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,G-xG,SCA90,GCA90,Cmp,Att,TotDist,PrgDist,S.Cmp,S.Att,M.Cmp,M.Att,L.Cmp,L.Att,KP,1/3,PPA,CrsPA,Prog,PressPass,Cross,TchDefP,TchDef3,TchMid3,TchAtt3,TchAttP,DrSucc,DrPast,ProgCrr,Crr1/3,CPA,Tkl,TklW,TklDef3,TklMid3,TklAtt3,Press,Succ,PrsDef3,PrsMid3,PrsAtt3,Blocks,Int,Clr,Squad,Recov,ArDuWon%,PrgPassDist
0,Aaron Cresswell,50000,DF,21,21,1860,20.7,0.05,0.14,0.03,0.11,0.58,0.1,0.08,0.5,21.0,0.29,0.0,0.01,1.98,0.24,52.9,67.2,962.2,90.7,23.4,25.5,22.8,26.4,5.94,12.9,1.35,3.96,0.87,0.29,5.65,6.76,2.13,4.01,21.1,36.8,21.5,1.01,0.1,0.1,3.38,1.64,0.05,1.26,0.72,0.92,0.24,0.1,6.76,2.32,3.48,2.42,0.87,1.45,1.59,2.37,WHU,8.41,59.1,421.7
1,Aaron Lennon,10577,MFFW,17,11,983,10.9,0.18,0.0,0.06,0.03,0.64,0.18,0.29,1.0,22.7,0.0,0.0,0.12,1.74,0.37,13.5,19.7,204.9,48.8,8.07,9.63,4.22,6.15,0.92,2.66,0.37,0.55,0.28,0.09,1.01,4.04,1.74,1.47,5.14,13.0,14.4,2.2,0.92,1.19,2.57,0.83,0.92,2.39,1.1,0.55,1.19,0.64,23.2,5.5,6.51,9.27,7.43,2.02,0.64,0.73,BUR,4.86,38.1,47.9
2,Aaron Ramsdale,71154,GK,22,22,1980,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,23.6,35.0,699.8,59.0,5.32,5.36,10.3,10.5,8.0,19.1,0.0,0.91,0.0,0.0,0.0,2.86,0.0,31.0,37.5,0.23,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.05,ARS,5.32,,430.1
3,Aaron Wan-Bissaka,90000,DF,18,18,1613,17.9,0.0,0.0,0.01,0.05,0.22,0.06,0.0,0.0,14.9,0.0,0.0,-0.01,1.73,0.06,47.9,57.0,711.9,118.5,28.3,30.8,15.6,18.0,2.46,4.64,0.78,2.07,0.67,0.39,2.68,7.04,1.17,4.25,24.0,31.1,18.5,1.17,1.84,1.96,4.92,1.79,0.22,2.01,1.17,1.06,0.67,0.28,10.8,2.91,4.86,3.8,2.12,3.02,2.18,2.46,MUN,8.04,36.4,235.1
4,Abdoulaye Doucouré,75000,MF,18,18,1594,17.7,0.11,0.23,0.11,0.08,1.36,0.34,0.08,0.33,16.6,0.0,0.0,0.01,2.2,0.34,31.9,40.2,540.3,85.4,15.1,17.8,12.9,15.3,2.77,4.12,0.79,3.22,0.79,0.06,3.5,8.47,0.23,2.37,12.3,27.6,13.4,1.86,0.96,1.02,3.16,1.24,0.28,2.37,1.41,1.02,1.24,0.11,22.7,6.1,8.59,9.94,4.12,1.3,1.69,1.19,EVE,12.1,49.1,122.7
5,Adam Armstrong,47885,FW,20,14,1216,13.5,0.15,0.15,0.3,0.13,3.26,1.04,0.05,0.14,17.2,0.0,0.0,-0.16,1.92,0.22,13.9,20.0,236.2,70.7,6.52,8.52,6.0,8.0,1.04,2.07,0.89,0.89,0.81,0.0,1.48,3.85,1.48,0.44,2.74,12.3,18.5,5.19,1.04,1.11,4.3,1.26,1.19,0.67,0.44,0.22,0.22,0.22,14.9,4.07,1.56,5.56,7.78,0.59,0.59,0.37,SOU,3.85,24.4,37.6
6,Adam Forshaw,20000,MF,19,14,1260,14.0,0.0,0.07,0.02,0.08,0.86,0.29,0.0,0.0,26.2,0.07,0.0,-0.02,1.71,0.07,38.9,46.4,717.4,76.0,18.6,20.3,13.6,16.1,5.43,7.5,0.86,3.36,0.5,0.0,3.07,7.43,0.29,1.29,16.1,32.8,10.9,0.5,0.5,0.5,2.57,0.93,0.07,3.07,1.5,1.07,1.86,0.14,23.7,6.79,6.86,13.0,3.86,1.21,1.93,0.93,LEE,10.8,40.9,165.7
7,Adam Idah,5000,FWMF,17,6,625,6.9,0.14,0.14,0.29,0.09,2.03,0.58,0.07,0.25,12.4,0.0,0.0,-0.14,1.73,0.14,13.9,20.6,239.1,48.8,6.38,9.57,5.8,7.25,1.16,1.74,0.58,1.01,0.58,0.29,1.01,6.38,1.59,1.88,3.91,13.5,18.4,4.78,1.74,1.74,2.75,0.43,0.29,1.59,0.87,0.58,0.72,0.29,13.5,3.33,2.17,5.8,5.51,0.58,0.58,1.16,NOR,4.93,30.8,46.7
8,Adam Lallana,90385,MF,20,18,1507,16.7,0.0,0.06,0.07,0.04,1.2,0.24,0.0,0.0,18.8,0.0,0.0,-0.07,1.55,0.18,48.1,55.0,763.1,81.4,26.0,28.4,18.0,19.6,3.05,4.61,0.48,3.65,1.02,0.0,3.47,9.46,0.48,2.51,16.5,36.2,16.0,2.16,1.02,1.08,3.65,1.02,0.24,2.28,1.32,1.14,0.9,0.24,17.7,5.99,6.65,7.78,3.29,1.5,1.62,0.78,BHA,10.4,50.0,162.8
9,Adam Masina,27885,DF,11,11,866,9.6,0.0,0.0,0.02,0.05,0.42,0.0,0.0,,14.2,0.0,0.0,-0.02,0.94,0.0,29.5,43.9,646.8,55.9,7.4,8.75,15.7,20.1,5.83,14.0,0.73,2.19,0.63,0.42,2.71,5.1,1.77,5.83,21.6,24.2,10.5,0.21,0.83,0.83,1.98,0.63,0.0,2.08,1.04,0.83,1.15,0.1,14.4,4.06,6.35,6.15,1.88,2.4,2.08,3.85,WAT,7.29,68.4,299.2
