Team,Gls,Ast,xG,xA,Sh/90,SoT/90,Dist,Cmp,Att,KP,1/3,PPA,CrsPA,ProgPass,Crs,SCA,GCA,TchDefP,TchDef3,TchMid3,TchAtt3,TchAttP,DrSucc,DrPast,ProgCrr,Crr1/3,CPA,vsGls,vsAst,vsxG,vsxA,TklW,TklDef3,TklMid3,TklAtt3,Succ,PrsDef3,PrsMid3,PrsAtt3,Blocks,Int,Clr,Recov,Won%,PrgDist,Press
Arsenal,1.62,1.19,1.58,1.01,15.54,4.92,16.9,407.5,498.8,11.3,29.2,9.62,2.23,31.0,11.0,24.5,2.5,66.6,197.8,277.5,173.5,29.1,8.27,8.65,47.9,14.2,5.42,1.12,0.77,1.27,0.9,9.58,4.323282051282051,3.8012948717948722,1.4615641025641026,37.2,10.932244897959183,14.971102040816326,11.296653061224491,14.7,13.5,16.6,83.5,46.4,2320.2,122.5
Aston Villa,1.39,1.18,1.15,0.9,11.71,3.96,17.0,320.0,413.8,8.93,24.1,8.25,2.0,29.7,11.9,18.6,2.25,66.1,187.1,233.7,142.3,23.2,7.71,8.36,34.3,10.3,3.68,1.36,0.93,1.26,0.83,10.5,5.227049180327869,4.05655737704918,1.1877049180327868,39.9,14.1075,17.214,8.5785,16.3,15.9,18.8,80.4,48.0,2248.5,140.0
Brentford,1.07,0.66,1.18,0.74,10.31,3.28,15.8,291.7,409.7,6.86,22.4,6.55,2.03,26.4,10.8,14.6,1.59,80.0,210.9,223.3,119.8,20.5,6.0,6.48,25.5,7.45,2.21,1.48,1.21,1.31,0.92,11.2,5.416296296296297,4.165925925925927,1.6355555555555554,42.6,15.722474226804126,18.00618556701031,8.871340206185566,16.4,16.2,24.9,94.9,49.5,2197.4,145.5
Brighton,0.89,0.75,1.08,0.73,12.21,3.46,17.0,456.2,560.7,8.68,31.1,9.14,2.32,32.7,12.8,19.2,1.54,76.6,242.1,289.6,190.1,25.3,9.14,9.79,43.5,12.4,3.68,1.21,0.96,1.25,0.85,12.1,5.541179487179487,4.808974358974359,1.7498461538461538,48.3,15.861159811193525,19.248347943358056,13.157923128792984,16.9,15.3,19.7,89.4,50.1,2655.4,148.3
Burnley,0.74,0.63,0.89,0.65,10.11,2.85,16.9,244.5,361.3,6.78,21.8,6.37,2.19,22.9,11.9,14.4,1.33,65.0,158.4,215.2,128.7,17.4,7.07,7.89,22.6,8.48,1.81,1.37,1.0,1.45,1.04,9.81,4.566526315789474,3.9526842105263156,1.3194736842105261,40.1,12.472482758620691,17.36744827586207,10.232413793103449,19.8,17.3,24.8,91.6,52.7,2147.5,145.0
Chelsea,2.0,1.43,1.67,1.2,13.96,4.89,16.6,518.3,610.2,10.3,37.7,11.1,1.54,40.3,12.4,23.3,3.46,67.6,225.6,345.1,203.1,29.5,9.5,10.3,55.3,16.8,6.61,0.64,0.39,0.89,0.53,10.3,4.541637426900585,4.342865497076024,1.439590643274854,43.3,13.46302521008403,18.708753501400558,11.128221288515407,15.0,15.7,21.2,81.9,51.8,2911.0,142.8
Crystal Palace,1.34,0.86,1.2,0.83,10.52,3.55,15.7,385.7,486.4,7.34,24.0,7.48,2.1,27.5,11.3,16.2,2.0,79.5,230.9,279.2,139.2,22.2,9.83,10.5,36.9,11.1,4.1,1.24,0.79,1.19,0.75,11.6,5.91958762886598,4.3888659793814435,1.3214432989690723,48.4,17.253564786112833,21.274395536267825,9.872039677619341,16.6,14.7,22.3,86.8,53.0,2424.6,161.3
Everton,1.04,0.77,1.12,0.71,11.69,3.38,17.2,288.5,393.7,8.35,22.9,7.12,2.15,25.8,11.3,18.3,1.58,63.5,176.6,228.8,142.8,21.4,8.08,8.77,32.2,10.3,3.77,1.65,1.31,1.48,1.11,13.1,6.457746478873238,4.92018779342723,1.679014084507042,50.4,16.93220338983051,21.996610169491525,11.471186440677966,17.2,16.5,19.8,89.2,44.7,2137.0,165.2
Leeds United,1.07,0.72,1.28,0.85,13.52,3.97,18.0,374.8,477.2,9.76,27.2,8.38,1.59,34.7,12.4,20.3,1.69,76.4,236.7,257.8,146.7,23.7,8.62,9.45,40.4,11.1,4.55,2.21,1.66,1.87,1.25,12.0,6.111111111111111,4.3277777777777775,1.55,52.7,17.95904925544101,22.848739977090496,11.8922107674685,16.6,17.1,19.8,86.4,44.7,2401.5,174.6
Leicester City,1.54,1.15,1.4,0.9,11.81,4.38,17.1,392.8,492.7,7.92,22.3,6.77,0.96,28.8,8.46,17.1,2.35,80.3,234.8,281.3,132.0,22.0,8.12,9.08,34.9,10.3,3.96,1.69,1.12,1.73,1.11,11.1,5.42910891089109,4.313613861386139,1.3298019801980199,45.6,16.294012738853507,20.360254777070065,8.945732484076434,17.0,15.2,22.1,83.2,51.4,2431.8,157.0
