Squad,MP,GF,GA,Pts,xG,xGA
MCI,29,68,18,70,67.0,21.2
LIV,28,73,20,66,71.2,27.1
CHE,28,57,19,59,46.7,24.8
ARS,26,43,29,51,41.2,33.0
MUN,29,48,40,50,44.8,41.3
WHU,29,48,36,48,40.0,36.2
WOL,29,29,23,46,27.9,40.5
TOT,27,42,35,45,43.7,31.4
AVL,28,41,39,36,32.2,35.2
SOU,29,36,45,35,39.3,41.4
CRY,29,39,38,34,34.9,34.4
LEI,26,40,45,33,36.5,45.1
BHA,28,26,34,33,30.3,35.1
NEW,28,32,48,31,27.8,42.0
BRE,29,32,45,30,34.1,38.1
LEE,29,31,65,26,37.1,54.2
EVE,26,28,47,22,29.0,38.4
WAT,29,29,55,22,30.9,49.6
BUR,27,22,38,21,24.1,39.2
NOR,29,18,63,17,24.8,55.5
